# samples=4671226772094713856 bins=1000 xmax=20
x_center, volfrac_A, count_A, count_total
8.930000e+00,9.965799e-01,38172,38303
8.950000e+00,9.959625e-01,37988,38142
8.970000e+00,9.959065e-01,37953,38109
8.990000e+00,9.958006e-01,38415,38577
9.010000e+00,9.959226e-01,38104,38260
9.030000e+00,9.946520e-01,37755,37958
9.050000e+00,9.944681e-01,37392,37600
9.070000e+00,9.945693e-01,38093,38301
9.090000e+00,9.935349e-01,38573,38824
9.110000e+00,9.914146e-01,38223,38554
9.130000e+00,9.901170e-01,37569,37944
9.150000e+00,9.904010e-01,37763,38129
9.170000e+00,9.893998e-01,38082,38490
9.190000e+00,9.898143e-01,37899,38289
9.210000e+00,9.869262e-01,37820,38321
9.230000e+00,9.846405e-01,38015,38608
9.250000e+00,9.822861e-01,38318,39009
9.270000e+00,9.793662e-01,37639,38432
9.290000e+00,9.813104e-01,37489,38203
9.310000e+00,9.767796e-01,37186,38070
9.330000e+00,9.767454e-01,37298,38186
9.350000e+00,9.735976e-01,36986,37989
9.370000e+00,9.640156e-01,36970,38350
9.390000e+00,9.608830e-01,36478,37963
9.410000e+00,9.580109e-01,36642,38248
9.430000e+00,9.569047e-01,36504,38148
9.450000e+00,9.488111e-01,36311,38270
9.470000e+00,9.421030e-01,35408,37584
9.490000e+00,9.364345e-01,35209,37599
9.510000e+00,9.291651e-01,34433,37058
9.530000e+00,9.216021e-01,33985,36876
9.550000e+00,9.088287e-01,33394,36744
9.570000e+00,9.009440e-01,32734,36333
9.590000e+00,8.931799e-01,32217,36070
9.610000e+00,8.800835e-01,32028,36392
9.630000e+00,8.744292e-01,31789,36354
9.650000e+00,8.656926e-01,30752,35523
9.670000e+00,8.521426e-01,30286,35541
9.690000e+00,8.364454e-01,29386,35132
9.710000e+00,8.237591e-01,29110,35338
9.730000e+00,8.095252e-01,28250,34897
9.750000e+00,7.969343e-01,27711,34772
9.770000e+00,7.757190e-01,26459,34109
9.790000e+00,7.665362e-01,26237,34228
9.810000e+00,7.394991e-01,24595,33259
9.830000e+00,7.058311e-01,23495,33287
9.850000e+00,6.806207e-01,22502,33061
9.870000e+00,6.591655e-01,21881,33195
9.890000e+00,6.353404e-01,20998,33050
9.910000e+00,6.123636e-01,20208,33000
9.930000e+00,5.844664e-01,19129,32729
9.950000e+00,5.616793e-01,18436,32823
9.970000e+00,5.339194e-01,17551,32872
9.990000e+00,5.054359e-01,16690,33021
1.001000e+01,4.763717e-01,15897,33371
1.003000e+01,4.616832e-01,15212,32949
1.005000e+01,4.304960e-01,14156,32883
1.007000e+01,4.019253e-01,13319,33138
1.009000e+01,3.655095e-01,11992,32809
1.011000e+01,3.476558e-01,11360,32676
1.013000e+01,3.296693e-01,10977,33297
1.015000e+01,2.941447e-01,9610,32671
1.017000e+01,2.721634e-01,8952,32892
1.019000e+01,2.527309e-01,8491,33597
1.021000e+01,2.339592e-01,8062,34459
1.023000e+01,2.169298e-01,7542,34767
1.025000e+01,2.019267e-01,7064,34983
1.027000e+01,1.774389e-01,6144,34626
1.029000e+01,1.674492e-01,5849,34930
1.031000e+01,1.586507e-01,5644,35575
1.033000e+01,1.374196e-01,4892,35599
1.035000e+01,1.233613e-01,4432,35927
1.037000e+01,1.144965e-01,4081,35643
1.039000e+01,1.001811e-01,3652,36454
1.041000e+01,8.525458e-02,3158,37042
1.043000e+01,7.863994e-02,2935,37322
1.045000e+01,7.030555e-02,2607,37081
1.047000e+01,6.685087e-02,2492,37277
1.049000e+01,5.971996e-02,2269,37994
1.051000e+01,5.544591e-02,2079,37496
1.053000e+01,4.786822e-02,1793,37457
1.055000e+01,4.184781e-02,1569,37493
1.057000e+01,3.694120e-02,1399,37871
1.059000e+01,3.071791e-02,1151,37470
1.061000e+01,2.631720e-02,980,37238
1.063000e+01,2.470122e-02,928,37569
1.065000e+01,2.167906e-02,816,37640
1.067000e+01,1.924660e-02,725,37669
1.069000e+01,1.822779e-02,692,37964
1.071000e+01,1.377891e-02,529,38392
1.073000e+01,1.430994e-02,557,38924
1.075000e+01,1.371873e-02,533,38852
1.077000e+01,1.158372e-02,445,38416
1.079000e+01,1.098008e-02,419,38160
1.081000e+01,7.975444e-03,304,38117
1.083000e+01,6.852326e-03,265,38673
1.085000e+01,6.267137e-03,240,38295
1.087000e+01,5.065364e-03,198,39089
1.089000e+01,4.041541e-03,158,39094
1.091000e+01,3.935286e-03,153,38879
1.093000e+01,3.284578e-03,128,38970
1.095000e+01,2.811214e-03,110,39129
1.097000e+01,2.380648e-03,93,39065
1.099000e+01,1.385610e-03,54,38972
1.101000e+01,1.722941e-03,67,38887
1.103000e+01,1.405033e-03,55,39145
1.105000e+01,1.029177e-03,40,38866
1.107000e+01,6.297725e-04,24,38109
1.109000e+01,5.856739e-04,23,39271
1.111000e+01,6.166971e-04,24,38917
1.113000e+01,6.806817e-04,26,38197
1.115000e+01,3.664538e-04,14,38204
1.117000e+01,2.658938e-04,10,37609
1.119000e+01,2.666382e-04,10,37504
1.121000e+01,1.573770e-04,6,38125
1.123000e+01,2.108759e-04,8,37937
1.125000e+01,2.341311e-04,9,38440
1.127000e+01,2.324680e-04,9,38715
1.129000e+01,7.744334e-05,3,38738
1.131000e+01,2.079975e-04,8,38462
1.133000e+01,1.572533e-04,6,38155
1.135000e+01,1.554485e-04,6,38598
1.137000e+01,1.030875e-04,4,38802
1.139000e+01,1.538462e-04,6,39000
1.141000e+01,1.020148e-04,4,39210
1.143000e+01,1.788726e-04,7,39134
1.145000e+01,1.797684e-04,7,38939
1.147000e+01,5.074339e-05,2,39414
1.149000e+01,5.108296e-05,2,39152
1.151000e+01,2.587858e-05,1,38642
1.153000e+01,5.149065e-05,2,38842
1.155000e+01,5.189952e-05,2,38536
1.157000e+01,2.572083e-05,1,38879
1.159000e+01,2.557806e-05,1,39096
1.161000e+01,5.113389e-05,2,39113
1.163000e+01,2.532928e-05,1,39480
1.165000e+01,3.797276e-04,15,39502
1.167000e+01,2.011061e-04,8,39780
1.169000e+01,1.267588e-04,5,39445
1.171000e+01,1.260970e-04,5,39652
1.173000e+01,1.018460e-04,4,39275
1.175000e+01,1.518680e-04,6,39508
1.177000e+01,1.278086e-04,5,39121
1.179000e+01,1.018200e-04,4,39285
1.181000e+01,1.259795e-04,5,39689
1.183000e+01,1.522997e-04,6,39396
1.185000e+01,1.784485e-04,7,39227
1.187000e+01,3.110501e-04,12,38579
1.189000e+01,2.058884e-04,8,38856
1.191000e+01,5.141520e-04,20,38899
1.193000e+01,4.914513e-04,19,38661
1.195000e+01,5.467184e-04,21,38411
1.197000e+01,7.037481e-04,27,38366
1.199000e+01,4.403575e-04,17,38605
1.201000e+01,4.627487e-04,18,38898
1.203000e+01,7.746333e-05,3,38728
1.205000e+01,7.680295e-05,3,39061
1.207000e+01,5.225479e-05,2,38274
1.209000e+01,7.769807e-05,3,38611
1.211000e+01,5.114305e-05,2,39106
1.213000e+01,5.164089e-05,2,38729
1.215000e+01,7.880635e-05,3,38068
1.217000e+01,7.830240e-05,3,38313
1.219000e+01,7.740737e-05,3,38756
1.221000e+01,5.085435e-05,2,39328
1.223000e+01,7.677347e-05,3,39076
1.225000e+01,7.605527e-05,3,39445
1.227000e+01,7.683639e-05,3,39044
1.229000e+01,1.022913e-04,4,39104
1.231000e+01,1.032445e-04,4,38743
1.233000e+01,1.015847e-04,4,39376
1.235000e+01,1.511830e-04,6,39687
1.237000e+01,2.304797e-04,9,39049
1.239000e+01,0.000000e+00,0,39176
1.241000e+01,0.000000e+00,0,39697
1.243000e+01,0.000000e+00,0,39214
1.245000e+01,0.000000e+00,0,38863
1.247000e+01,0.000000e+00,0,39349
1.249000e+01,0.000000e+00,0,39415
1.251000e+01,0.000000e+00,0,38852
1.253000e+01,0.000000e+00,0,38890
1.255000e+01,0.000000e+00,0,38428
1.257000e+01,0.000000e+00,0,39167
